{nodeName: SPACEBEE-4, nodeId: 43139}

len-data, len-low, len-med, len-hi, mem%, time-cache, pow, num-proc
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
{nodeName: SPACEBEE-110, nodeId: 48899}

len-data, len-low, len-med, len-hi, mem%, time-cache, pow, num-proc
[0, 0, 0, 0, 0.0, 15.0, 150000.0, 0, 0]
[0, 0, 0, 0, 0.0, 30.0, 182200.0, 0, 0]
[0, 0, 0, 0, 0.0, 45.0, 182200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 182200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
